id,food_id,garden_id,phase1,phase2,phase3,phase4,phase5,created_at,updated_at
86,1,,Serve as 10x rice porridge (1 part rice to 10 parts water).,Serve as 7x rice porridge (1 part rice to 7 parts water).,Serve as 5x rice porridge (1 part rice to 5 parts water).,Serve as soft cooked rice.,Adjust to the child's development.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
87,2,,"Simmer until soft to make bread porridge. It is sticky, so be careful with the amount and size served.","Serve as bread porridge, or soak in hot water until soft. It is sticky, so be careful with the amount and size served.","Serve in bite-sized pieces or strips. It is sticky, so be careful with the amount and size served.","Gradually move toward bite-sized pieces the child can chew. It is sticky, so be careful with the amount and size served.","Season lightly and cut to an easy-to-eat size and texture. It is sticky, so be careful with the amount and size served.",2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
88,3,,"High in fat, so serving is not recommended.","High in fat, so serving is not recommended.","Cook thoroughly, remove the skin and bones, and flake finely. Serve soft enough to be mashed with the gums.","Cook thoroughly, remove the skin and bones, and flake. Gradually move toward bite-sized pieces the child can chew.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
89,4,,Do not serve.,"Cook thoroughly, remove the bones and skin, flake, and add a smooth thickened texture.","Cook thoroughly, remove the bones and skin, and flake.",Gradually move toward bite-sized pieces the child can chew. Cook thoroughly and watch carefully for bones and skin.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
90,5,,Do not serve.,Start with chicken tenderloin. Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
91,6,,Do not serve.,"Boil until fully cooked, finely chop, then mash into a paste before cooking further.",Boil until fully cooked and finely chop before cooking further.,Boil until fully cooked and roughly chop before cooking further.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
92,7,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
93,8,,Avoid for children age 2 or under.,Avoid for children age 2 or under.,Avoid for children age 2 or under.,Avoid for children age 2 or under.,Season lightly and cut to an easy-to-eat size and texture. Only from age 2 and up.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
94,9,,Do not serve.,Do not serve.,"Boil until soft, remove excess salt, and cut into 5-7mm pieces before serving.","Boil until soft, remove excess salt, and chop before serving. Gradually move toward bite-sized pieces the child can chew.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
95,10,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
96,11,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
97,12,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
98,13,,Use the leaf tips. Serve finely pureed to a smooth consistency.,Use the leaf tips. Serve soft enough to be mashed with the tongue.,Use the leaf tips. Serve soft enough to be mashed with the gums.,Use the leaf tips. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
99,14,,Use the leaf part. Serve finely pureed to a smooth consistency.,Use the leaf part. Serve soft enough to be mashed with the tongue.,Use the leaf part. Serve soft enough to be mashed with the gums.,Use the leaf part. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
100,15,,Use the leaf part. Serve finely pureed to a smooth consistency.,Use the leaf part. Serve soft enough to be mashed with the tongue.,Use the leaf part. Serve soft enough to be mashed with the gums.,Use the leaf part. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
101,16,,Do not serve.,Do not serve.,Serve soft enough to be mashed with the gums. Cutting across the fibers into about 1cm pieces makes it easier to eat.,Gradually move toward bite-sized pieces the child can chew. Cutting across the fibers into about 1cm pieces makes it easier to eat.,Season lightly and cut to an easy-to-eat size and texture. Cutting across the fibers into about 1cm pieces makes it easier to eat.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
102,17,,Do not serve.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
103,18,,"Peel, cook until soft, and mash. Serve finely pureed to a smooth consistency.",Peel and cut into 5-7mm cubes. Serve soft enough to be mashed with the tongue.,Cut into 1cm cubes. Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
104,19,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
105,20,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
106,21,,Do not serve.,Do not serve.,"Serving is not recommended. If served, mince finely.","Mince into 2-3mm pieces before cooking, or cook first and then mince finely.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
107,22,,No need to serve yet. Gradually introduce starting with vegetables that are easy to swallow.,Boil until soft and finely chop into about 2-3mm pieces.,"Cut into about 5-8mm pieces to serve. If it is hard to swallow, chop it smaller.",Chop into about 1cm pieces and mix into finger-food dishes.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
108,23,,Do not serve.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
109,24,,Do not serve.,Do not serve.,Serve soft enough to be mashed with the gums. Cutting across the fibers into about 1cm pieces makes it easier to eat.,Gradually move toward bite-sized pieces the child can chew. Cutting across the fibers into about 1cm pieces makes it easier to eat.,Season lightly and cut to an easy-to-eat size and texture. Cutting across the fibers into about 1cm pieces makes it easier to eat.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
