id,garden_id,name,created_at
1,,Rice,2026-08-06 09:34:51.904111+00
2,,Bread,2026-08-06 09:34:51.904111+00
3,,Mackerel,2026-08-06 09:34:51.904111+00
4,,Salmon,2026-08-06 09:34:51.904111+00
5,,Chicken,2026-08-06 09:34:51.904111+00
6,,Pork,2026-08-06 09:34:51.904111+00
7,,Tuna,2026-08-06 09:34:51.904111+00
8,,Clams,2026-08-06 09:34:51.904111+00
9,,Dried baby sardines,2026-08-06 09:34:51.904111+00
10,,Onion,2026-08-06 09:34:51.904111+00
11,,Carrot,2026-08-06 09:34:51.904111+00
12,,Potato,2026-08-06 09:34:51.904111+00
13,,Cabbage,2026-08-06 09:34:51.904111+00
14,,Komatsuna (Japanese mustard spinach),2026-08-06 09:34:51.904111+00
15,,Bok choy,2026-08-06 09:34:51.904111+00
16,,Enoki mushroom,2026-08-06 09:34:51.904111+00
17,,Pea shoots,2026-08-06 09:34:51.904111+00
18,,Eggplant,2026-08-06 09:34:51.904111+00
19,,Pumpkin,2026-08-06 09:34:51.904111+00
20,,Bell pepper,2026-08-06 09:34:51.904111+00
21,,Garlic chives,2026-08-06 09:34:51.904111+00
22,,Okra,2026-08-06 09:34:51.904111+00
23,,Green beans,2026-08-06 09:34:51.904111+00
24,,Shimeji mushroom,2026-08-06 09:34:51.904111+00
25,,Fried tofu,2026-08-06 09:34:51.904111+00
26,,Jute mallow (molokhia),2026-08-06 09:34:51.904111+00
27,,Bitter melon,2026-08-06 09:34:51.904111+00
28,,Tomato,2026-08-06 09:34:51.904111+00
29,,Cucumber,2026-08-06 09:34:51.904111+00
30,,Green onion,2026-08-06 09:34:51.904111+00
31,,Soybeans,2026-08-06 09:34:51.904111+00
32,,Deep-fried tofu,2026-08-06 09:34:51.904111+00
33,,Firm tofu,2026-08-06 09:34:51.904111+00
34,,Kidney beans,2026-08-06 09:34:51.904111+00
35,,Egg,2026-08-06 09:34:51.904111+00
36,,Sesame seeds,2026-08-06 09:34:51.904111+00
37,,Dried wakame seaweed,2026-08-06 09:34:51.904111+00
38,,Dried gourd strips (kanpyo),2026-08-06 09:34:51.904111+00
39,,Corn,2026-08-06 09:34:51.904111+00
40,,Bamboo shoot,2026-08-06 09:34:51.904111+00
41,,Prune,2026-08-06 09:34:51.904111+00
42,,Green laver (aonori),2026-08-06 09:34:51.904111+00
43,,Nori seaweed,2026-08-06 09:34:51.904111+00
44,,Watermelon,2026-08-06 09:34:51.904111+00
45,,Melon,2026-08-06 09:34:51.904111+00
46,,Apple,2026-08-06 09:34:51.904111+00
47,,Grapes,2026-08-06 09:34:51.904111+00
48,,Shiratama dumpling,2026-08-06 09:34:51.904111+00
49,,Candy,2026-08-06 09:34:51.904111+00
50,,Jelly,2026-08-06 09:34:51.904111+00
51,,Quail egg,2026-08-06 09:34:51.904111+00
52,,Individually wrapped cheese,2026-08-06 09:34:51.904111+00
53,,Banana,2026-08-06 09:34:51.904111+00
54,,Dried sardines (niboshi),2026-08-06 09:34:51.904111+00
55,,Ham,2026-08-06 09:34:51.904111+00
56,,Bacon,2026-08-06 09:34:51.904111+00
57,,Sausage,2026-08-06 09:34:51.904111+00
58,,Chikuwa (tube-shaped fish cake),2026-08-06 09:34:51.904111+00
59,,Kamaboko (fish cake),2026-08-06 09:34:51.904111+00
60,,Daikon radish,2026-08-06 09:34:51.904111+00
61,,Napa cabbage,2026-08-06 09:34:51.904111+00
62,,Spinach,2026-08-06 09:34:51.904111+00
63,,Broccoli,2026-08-06 09:34:51.904111+00
64,,Lotus root,2026-08-06 09:34:51.904111+00
65,,Burdock root,2026-08-06 09:34:51.904111+00
66,,Taro,2026-08-06 09:34:51.904111+00
67,,Sweet potato,2026-08-06 09:34:51.904111+00
68,,Bean sprouts,2026-08-06 09:34:51.904111+00
69,,Green peas,2026-08-06 09:34:51.904111+00
71,,Mandarin orange,2026-08-06 09:34:51.904111+00
72,,Orange,2026-08-06 09:34:51.904111+00
73,,Pineapple,2026-08-06 09:34:51.904111+00
76,,Pickled plum (umeboshi),2026-08-06 09:34:51.904111+00
77,,Shiitake mushroom,2026-08-06 09:34:51.904111+00
78,,Celery,2026-08-06 09:34:51.904111+00
79,,Honey,2026-08-06 09:34:51.904111+00
80,,Peanuts,2026-08-06 09:34:51.904111+00
81,,Cherry tomato,2026-08-06 09:34:51.904111+00
82,,Mochi (rice cake),2026-08-06 09:34:51.904111+00
84,,Nuts,2026-08-06 09:34:51.904111+00
85,,Cherry,2026-08-06 09:34:51.904111+00
86,,Konjac,2026-08-06 09:34:51.904111+00
87,,Noodles,2026-08-06 09:34:51.904111+00
88,,Corn flakes,2026-08-06 09:34:51.904111+00
89,,Sweets/snacks,2026-08-06 09:34:51.904111+00
